Date,IUSG,IUSV,EFG,EFV,VWO,BND,BNDX,EMB,SHV,SHY,IEI,IEF,TLH,TLT,IAU,DBC,VNQ,VNQI,IXN,RXI,IXP,IXG,EXI,MXI,IXC,IXJ,KXI,JXI
2020-03-13,56.53355407714844,44.07487487792969,65.1055679321289,29.115488052368164,30.728715896606445,72.10647583007812,48.47100830078125,78.2228012084961,97.03849029541016,77.50271606445312,118.74299621582031,104.5282974243164,136.2017822265625,133.52532958984375,29.100000381469727,10.892016410827637,65.67118072509766,38.876407623291016,30.662065505981445,92.92889404296875,49.13542938232422,44.369384765625,67.6125717163086,42.59511184692383,13.933920860290527,56.88567352294922,42.43328094482422,44.23381805419922
2020-03-16,50.004215240478516,39.22913360595703,58.53810501098633,25.960763931274414,27.013879776000977,72.86438751220703,48.06064987182617,74.61106872558594,97.06481170654297,77.62850189208984,119.9753189086914,107.28961181640625,143.17764282226562,142.1731719970703,28.799999237060547,10.235438346862793,54.0291748046875,34.685428619384766,26.293306350708008,81.5963363647461,44.34720230102539,38.51356887817383,60.694515228271484,38.05002975463867,11.909820556640625,51.57722091674805,39.05277633666992,39.38381576538086
2020-03-17,52.37765121459961,41.22444152832031,61.5233039855957,27.48883628845215,28.708669662475586,71.35713195800781,48.086299896240234,73.88404846191406,97.07353973388672,77.44884490966797,118.66143035888672,104.59957885742188,135.8094482421875,132.6926727294922,29.200000762939453,10.073541641235352,57.15243148803711,34.7192268371582,28.11994743347168,84.40802001953125,46.56363296508789,40.316707611083984,62.89907455444336,40.442630767822266,11.88553237915039,54.48891067504883,42.247440338134766,43.59001159667969
2020-03-18,50.4903564453125,38.80156326293945,58.40749740600586,25.673227310180664,26.371919631958008,69.63458251953125,46.98353958129883,67.07494354248047,97.17855834960938,77.35004425048828,117.89126586914062,103.14767456054688,128.96139526367188,125.20703887939453,28.520000457763672,9.740754127502441,51.715641021728516,31.92242431640625,26.837583541870117,78.89900970458984,44.84286117553711,37.384422302246094,58.508399963378906,37.53549575805664,10.331018447875977,52.44792175292969,40.902313232421875,41.804527282714844
2020-03-19,50.51893997192383,38.70357894897461,59.433658599853516,25.952550888061523,26.51742935180664,69.59152221679688,47.017730712890625,68.77916717529297,97.15229034423828,77.4847640991211,118.14498901367188,103.48614501953125,133.0463409423828,128.61587524414062,28.059999465942383,9.947623252868652,51.89741897583008,31.07746696472168,27.07176971435547,81.05304718017578,45.97445297241211,37.75205612182617,59.0987434387207,38.05860137939453,10.905863761901855,52.31684875488281,40.84037399291992,40.482574462890625
2020-03-20,48.32660675048828,37.1180305480957,58.57541275024414,25.623929977416992,26.637264251708984,70.77146911621094,47.282737731933594,71.21040344238281,97.17855834960938,77.69137573242188,119.5584487915039,106.12274932861328,138.5895538330078,138.2872314453125,28.459999084472656,9.839691162109375,49.31122970581055,31.457698822021484,26.026819229125977,80.08087158203125,44.27238845825195,37.10432815551758,57.549095153808594,37.20104217529297,11.092082023620605,50.135414123535156,38.9731330871582,37.93309783935547
2020-03-23,47.306697845458984,35.5146598815918,57.987709045410156,25.45962142944336,26.12101936340332,72.3390121459961,47.39386749267578,71.41368865966797,97.15229034423828,77.78119659423828,120.4101791381836,107.37864685058594,143.14361572265625,143.98597717285156,29.700000762939453,9.956616401672363,47.02248001098633,31.06902313232422,25.884693145751953,79.68057250976562,44.37525939941406,35.45874786376953,55.750396728515625,36.583595275878906,10.800612449645996,48.21613311767578,37.64570236206055,36.19911575317383
2020-03-24,52.05356979370117,38.944087982177734,62.334903717041016,27.98176383972168,27.767513275146484,72.41650390625,47.38533020019531,73.6417007446289,97.18730926513672,77.67344665527344,119.83934020996094,106.64826202392578,141.03713989257812,141.3057403564453,31.040000915527344,10.172477722167969,51.25293731689453,33.679931640625,28.510791778564453,87.72488403320312,46.647789001464844,39.45014953613281,61.552345275878906,40.57126998901367,12.670882225036621,51.54913330078125,39.61029052734375,39.280792236328125
2020-03-25,52.30034637451172,39.87188720703125,63.948787689208984,28.967615127563477,28.67652130126953,73.38976287841797,47.7956657409668,76.59676361083984,97.21356201171875,77.76322937011719,119.8755874633789,106.71060180664062,141.1991729736328,140.98480224609375,30.700000762939453,10.343368530273438,54.01265335083008,35.65713119506836,28.672300338745117,90.75578308105469,46.544921875,40.50052261352539,64.41180419921875,41.6689453125,13.415752410888672,52.56026840209961,39.90232467651367,40.57699966430664
2020-03-26,55.303688049316406,42.371185302734375,67.01795196533203,30.109561920166016,29.834213256835938,73.72564697265625,48.12052536010742,77.86321258544922,97.19610595703125,77.85308074951172,120.1111831665039,106.96894073486328,140.9860382080078,141.67874145507812,31.139999389648438,10.307391166687012,57.82170867919922,36.33309555053711,30.32774543762207,93.98684692382812,48.91098403930664,43.196468353271484,68.11990356445312,43.212547302246094,13.844861030578613,55.71537780761719,42.35363006591797,43.46125030517578
